Quantile	Coef	CI.U	CI.L	Group	N
[0,1]	20.8470222872647	41.2238061009741	0.470238473555249	0	2
(1,5]	-2.53076372174349	14.0929840939477	-19.1545115374346	0	4
(5,10]	24.2416265786348	37.8841264316788	10.5991267255908	0	5
(10,20]	5.36940631672745	17.1885109234196	-6.44969828996476	0	10
(20,40]	2.90018431912595	11.3224103338367	-5.52204169558476	0	20
(40,60]	0	0	0	0	21
(60,80]	4.43232497635919	13.3820552750988	-4.51740532238039	0	20
(80,90]	-2.5417150745233	8.18763466405286	-13.2710648130995	0	10
(90,95]	0.144426624156066	13.2039594822852	-12.9151062339731	0	5
(95,99]	7.78928707689403	24.5331856312349	-8.95461147744686	0	4
(99,100]	-5.75606597726166	22.2048585524298	-33.7169905069531	0	2
