Quantile	Coef	CI.U	CI.L	Group	N
[0,1]	13.6236165619179	35.3225602593774	-8.07532713554172	0	2
(1,5]	-3.88005288709095	11.7867278555183	-19.5468336297002	0	4
(5,10]	20.2672861524285	33.9902935223352	6.54427878252181	0	5
(10,20]	0.854692968150243	12.9658348869641	-11.2564489506636	0	10
(20,40]	7.44664161019168	16.2185883519477	-1.32530513156432	0	20
(40,60]	0	0	0	0	21
(60,80]	-0.955305559492029	8.00876754516867	-9.91937866415273	0	20
(80,90]	1.42854847838109	12.4713480848832	-9.61425112812101	0	10
(90,95]	3.45101829403198	17.2984922586773	-10.3964556706133	0	5
(95,99]	-2.32283710395566	15.570517689956	-20.2161918978673	0	4
(99,100]	-8.58027018375311	20.5828021632189	-37.7433425307252	0	2
