Quantile	Coef	CI.U	CI.L	Group	N
[0,1]	18.8663222168005	38.4077830394169	-0.675138605815828	0	2
(1,5]	-1.05466643758718	14.8857613528826	-16.995094228057	0	4
(5,10]	19.2360239402556	32.3277780383971	6.14426984211407	0	5
(10,20]	5.89917572931175	17.2248604558169	-5.42650899719339	0	10
(20,40]	2.88260415480709	10.954677287668	-5.18946897805379	0	20
(40,60]	0	0	0	0	21
(60,80]	7.89816369710247	16.4023544600809	-0.606027065875979	0	20
(80,90]	-6.72435899172401	3.55417914775426	-17.0028971312023	0	10
(90,95]	2.01708295890538	14.544781510058	-10.5106155922473	0	5
(95,99]	10.4403059714238	26.5275843849057	-5.64697244205809	0	4
(99,100]	-4.89988119788705	21.9173255436487	-31.7170879394228	0	2
