Quantile	Coef	CI.U	CI.L	Group	N
[0,1]	4.03692220285206	24.9785817283515	-16.9047373226474	0	2
(1,5]	3.43742994520638	19.4036962203341	-12.5288363299214	0	4
(5,10]	-2.67873077286639	13.2810171352524	-18.6384786809852	0	5
(10,20]	-2.20411804016885	8.89778120614238	-13.3060172864801	0	10
(20,40]	3.93130964141678	13.6208307891924	-5.75821150635888	0	20
(40,60]	0	0	0	0	21
(60,80]	10.2249384272227	19.6217561445277	0.828120709917636	0	20
(80,90]	8.33170826114775	19.6207321222076	-2.95731559991214	0	10
(90,95]	-6.64282375636137	9.40030401587536	-22.6859515285981	0	5
(95,99]	-2.03786319805486	13.7036499490423	-17.7793763451521	0	4
(99,100]	18.1215873654391	38.6164069424771	-2.37323221159895	0	2
