Quantile	Coef	CI.U	CI.L	Group	N
[0,1]	-2.27297913066829	19.4987920490627	-24.0447503103993	0	2
(1,5]	-2.35960267784832	12.2486221380905	-16.9678274937872	0	4
(5,10]	1.13234370021165	15.6611263870225	-13.3964389865993	0	5
(10,20]	3.9756103872789	14.8882212567707	-6.93700048221294	0	10
(20,40]	2.5665345643495	11.6513933951278	-6.51832426642882	0	20
(40,60]	0	0	0	0	21
(60,80]	0.997255685742527	10.7195998720866	-8.72508850060159	0	20
(80,90]	-8.07248975647596	2.99925276856609	-19.144232281518	0	10
(90,95]	3.41993520062919	17.7158561652006	-10.8759857639423	0	5
(95,99]	-22.3089345438538	-0.576030905641399	-44.0418381820662	0	4
(99,100]	-2.32657840028454	18.2318429540882	-22.8849997546573	0	2
