Quantile	Coef	CI.U	CI.L	Group	N
1	6.87458795655216	24.3625567894821	-10.6133808763778	0	6
2	-3.83165322208405	15.8752654147733	-23.5385718589414	0	5
3	18.9763384379502	39.6532799833262	-1.7006031074257	0	5
4	-5.61665029408341	14.8197718479194	-26.0530724360862	0	5
5	-5.25751294714589	14.7345456519781	-25.2495715462699	0	5
6	-16.8290085462043	3.12929923903286	-36.7873163314415	0	5
7	-2.65339568344505	17.1457442630715	-22.4525356299616	0	5
8	-4.88443531954638	13.5852700914194	-23.3541407305121	0	5
9	-8.26034992151689	10.6256847013838	-27.1463845444176	0	5
10	0	0	0	0	6
11	1.48600096704679	21.6316428424711	-18.6596409083775	0	5
12	4.88213420960091	26.5147575081022	-16.7504890889004	0	5
13	-3.74112375045908	14.6389832781271	-22.1212307790453	0	5
14	4.23389154440888	22.5032002901315	-14.0354172013138	0	5
15	1.83208490438338	20.3421534466459	-16.6779836378792	0	5
16	4.85222917202745	24.2686717550298	-14.5642134109749	0	5
17	5.05411635051934	24.6586945502396	-14.5504618492009	0	5
18	0.999959865211032	18.896362184386	-16.896442453964	0	5
19	-3.66660842494796	14.7776190129798	-22.1108358628757	0	5
20	1.84989891672453	20.8933931007152	-17.1935952672661	0	6
