"","from","to"
"1","Cytokine_signaling_subgraph","Mitophagy_subgraph"
"2","Cytokine_signaling_subgraph","MAPK_subgraph"
"3","Mitophagy_subgraph","Autophagy_signaling_subgraph"
"4","Group_IPD","Mitophagy_subgraph"
"5","Vitamin_subgraph","GenePy_Cadd_Genes_CAT"
"6","Mitophagy_subgraph","GenePy_Cadd_Genes_CAT"
"7","APOE_subgraph","GenePy_Cadd_Genes_CAT"
"8","Group_IPD","Levodopa"
"9","Group_IPD","MAPK_subgraph"
"10","Mitophagy_subgraph","MAPK_subgraph"
"11","Autophagy_signaling_subgraph","Calcium.dependent_signal_transduction"
"12","Group_IPD","cholesterole"
"13","Wnt_signaling_subgraph","GenePy_Cadd_Genes_CAT"
"14","Cholesterol_metabolism_subgraph","GenePy_Cadd_Genes_CAT"
"15","Cholesterol_metabolism_subgraph","Vitamin_subgraph"
"16","APOE_subgraph","Vitamin_subgraph"
